name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
75 Ceti b,271,3 Jupiters,5.3532,2012,https:/exoplanets.nasa.gov/exoplanet-catalog/7011/75-ceti-b/
7 Canis Majoris b,65,1.85 Jupiters,3.95,2011,https:/exoplanets.nasa.gov/exoplanet-catalog/6987/7-canis-majoris-b/
7 Canis Majoris c,65,0.87 Jupiters,3.95,2019,https:/exoplanets.nasa.gov/exoplanet-catalog/7505/7-canis-majoris-c/
81 Ceti b,330,5.3 Jupiters,5.64307,2008,https:/exoplanets.nasa.gov/exoplanet-catalog/7012/81-ceti-b/
8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015,https:/exoplanets.nasa.gov/exoplanet-catalog/7100/8-ursae-minoris-b/
91 Aquarii b,144,3.2 Jupiters,4.23946,2013,https:/exoplanets.nasa.gov/exoplanet-catalog/7013/91-aquarii-b/
AB Aurigae b,529,9 Jupiters,7.076,2022,https:/exoplanets.nasa.gov/exoplanet-catalog/8484/ab-aurigae-b/
AB Pictoris b,163,13.5 Jupiters,9.13,2005,https:/exoplanets.nasa.gov/exoplanet-catalog/7014/ab-pictoris-b/
Alpha Arietis b,66,1.8 Jupiters,2.00538,2010,https:/exoplanets.nasa.gov/exoplanet-catalog/7038/alpha-arietis-b/
Alpha Tauri b,67,6.47 Jupiters,0.872,2015,https:/exoplanets.nasa.gov/exoplanet-catalog/7107/alpha-tauri-b/
AU Microscopii b,32,20.12 Earths,8.81,2020,https:/exoplanets.nasa.gov/exoplanet-catalog/7635/au-microscopii-b/
AU Microscopii c,32,9.6 Earths,8.81,2021,https:/exoplanets.nasa.gov/exoplanet-catalog/7939/au-microscopii-c/
